Loading Datastore...
 * Serving Flask app 'server' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://127.0.0.1:6080/ (Press CTRL+C to quit)
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /channel/join/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /message/send/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "DELETE /admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "GET /channel/messages/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJwZXJtaXNzaW9uc19pZCI6MSwic2Vzc2lvbl9pZCI6M30.XiXTOeEFziANJ_OVdS5N6LV919i8eWHEZeHpylMCj4U&channel_id=1&start=0 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJwZXJtaXNzaW9uc19pZCI6MSwic2Vzc2lvbl9pZCI6NX0.tQ3v2YpFOgjDSYQ5iLHFUg17498utqTcfauXfx8EqGA&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoyLCJwZXJtaXNzaW9uc19pZCI6Miwic2Vzc2lvbl9pZCI6Nn0.oG7UCjZGLD_0G-VMlqFB7Skzdi_Ezc35H0JPAfFfu28&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "DELETE /admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJwZXJtaXNzaW9uc19pZCI6MSwic2Vzc2lvbl9pZCI6NX0.tQ3v2YpFOgjDSYQ5iLHFUg17498utqTcfauXfx8EqGA&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJwZXJtaXNzaW9uc19pZCI6MSwic2Vzc2lvbl9pZCI6N30.gwetG9u07s1gn7bUKRZCKak6hD33U1M4j4wKzTBfrrI&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoyLCJwZXJtaXNzaW9uc19pZCI6Miwic2Vzc2lvbl9pZCI6OH0.Z4XP1tVri7-FXzXNanX4jxXcwaR_mQDBqecU1WYxGFs&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /channel/join/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "DELETE /admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "GET /channel/details/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJwZXJtaXNzaW9uc19pZCI6MSwic2Vzc2lvbl9pZCI6N30.gwetG9u07s1gn7bUKRZCKak6hD33U1M4j4wKzTBfrrI&channel_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJwZXJtaXNzaW9uc19pZCI6MSwic2Vzc2lvbl9pZCI6OX0.01sLsJJwP28OBfdAhLQLofP5qKJ2T4EOFGe9U7Bex3c&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoyLCJwZXJtaXNzaW9uc19pZCI6Miwic2Vzc2lvbl9pZCI6MTB9.yQjl2FWbEYhvd9QaDLQdRfX4-7NDsvmhKgEOos_62uw&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /dm/create/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "GET /dm/details/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJwZXJtaXNzaW9uc19pZCI6MSwic2Vzc2lvbl9pZCI6OX0.01sLsJJwP28OBfdAhLQLofP5qKJ2T4EOFGe9U7Bex3c&dm_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "DELETE /admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "GET /dm/details/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJwZXJtaXNzaW9uc19pZCI6MSwic2Vzc2lvbl9pZCI6OX0.01sLsJJwP28OBfdAhLQLofP5qKJ2T4EOFGe9U7Bex3c&dm_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJwZXJtaXNzaW9uc19pZCI6MSwic2Vzc2lvbl9pZCI6MTF9.c9kYRJRtjS4qgKsLSCGKGuE86VrADfEhvBHCWWKqjAw&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoyLCJwZXJtaXNzaW9uc19pZCI6Miwic2Vzc2lvbl9pZCI6MTJ9.Lojx3A_VsTD1W8KtaGn5rJ5UE03CY9_NnhCnSA7sygQ&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "DELETE /admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "GET /users/all/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJwZXJtaXNzaW9uc19pZCI6MSwic2Vzc2lvbl9pZCI6MTF9.c9kYRJRtjS4qgKsLSCGKGuE86VrADfEhvBHCWWKqjAw HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJwZXJtaXNzaW9uc19pZCI6MSwic2Vzc2lvbl9pZCI6MTN9.cAWnRiLm_rFYdlMwXM01l2aPlTBDYxPTI-44XM1EeLo&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoyLCJwZXJtaXNzaW9uc19pZCI6Miwic2Vzc2lvbl9pZCI6MTR9.VvEPS-JoyJBZ9tjv4qvFeBm4qkegqxe6vR2I-JrTouE&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "DELETE /admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJwZXJtaXNzaW9uc19pZCI6MSwic2Vzc2lvbl9pZCI6MTZ9.dTaHHvjJoIzqL69tvQLeZhtIs35S0yVVYKaaPjMTquw&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoyLCJwZXJtaXNzaW9uc19pZCI6Miwic2Vzc2lvbl9pZCI6MTd9._jPuYKjSDarp6-jiUP2kK2puSgFRvUGIgNNXDpkNLzE&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "DELETE /admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoyLCJwZXJtaXNzaW9uc19pZCI6Miwic2Vzc2lvbl9pZCI6MTh9.ZoALKpPEvtsRpqkFaoZV1IvtAmxR0xf5Vp3VuNmNu6k&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJwZXJtaXNzaW9uc19pZCI6MSwic2Vzc2lvbl9pZCI6MTl9.Fldg9uv9zQxJ4KnlSbaFBGoMzhE_f4aOzUgwYMkB7Xk&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "DELETE /admin/user/remove/v1 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJwZXJtaXNzaW9uc19pZCI6MSwic2Vzc2lvbl9pZCI6MjB9._h37UcYKwWSssvJXwjyDJsV5h-EuyrMpJlrc2I_bKxU&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "DELETE /admin/user/remove/v1 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJwZXJtaXNzaW9uc19pZCI6MSwic2Vzc2lvbl9pZCI6MjF9.EOdRAe3Hhu5rwyit_n6HFru4DM_1vAyEaatbmZb2r_g&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoyLCJwZXJtaXNzaW9uc19pZCI6Miwic2Vzc2lvbl9pZCI6MjJ9.dvKODxQNg7Be_e-RKjBRS_ahHkAwpmH4vJb7imxdGnI&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "DELETE /admin/user/remove/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJwZXJtaXNzaW9uc19pZCI6MSwic2Vzc2lvbl9pZCI6MjN9.410EXanwReE0JkIF8FPk6w6tPSlf-Fl1CNEYPNbggQE&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoyLCJwZXJtaXNzaW9uc19pZCI6Miwic2Vzc2lvbl9pZCI6MjR9.nBM2dIZa_KeBCJnJisA7pUILh2ff-O3Jtg0WsgJklsI&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /auth/logout/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "DELETE /admin/user/remove/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJwZXJtaXNzaW9uc19pZCI6MSwic2Vzc2lvbl9pZCI6MjV9.Vy8_cU7hiKD81zRNJZsrNxADvzdnpxlenfPStXCTZlE&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoyLCJwZXJtaXNzaW9uc19pZCI6Miwic2Vzc2lvbl9pZCI6MjZ9.J3ztU-6w7P-6uzB4McTepnkUxLLqx8Ehnf-aOKycLiY&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /admin/userpermission/change/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /admin/userpermission/change/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJwZXJtaXNzaW9uc19pZCI6MSwic2Vzc2lvbl9pZCI6Mjd9.kGBFAGAsgLhVUT5cumEK4qXPl9fPniitULs7UupKZ54&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /admin/userpermission/change/v1 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJwZXJtaXNzaW9uc19pZCI6MSwic2Vzc2lvbl9pZCI6Mjh9.UNvYXl6MNHsPK9lL63D-QzFHWl3Sb2M0nXFc2ESxuEs&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoyLCJwZXJtaXNzaW9uc19pZCI6Miwic2Vzc2lvbl9pZCI6Mjl9.eWjblN_Hig4pvk6OkeW8DnGOYgAy1PYnC0mTCU8QC2E&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /admin/userpermission/change/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJwZXJtaXNzaW9uc19pZCI6MSwic2Vzc2lvbl9pZCI6MzB9.d13XtARvK6S76mMBJGQ49QJJsFefeeeELsWj447jUyk&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /admin/userpermission/change/v1 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJwZXJtaXNzaW9uc19pZCI6MSwic2Vzc2lvbl9pZCI6MzF9.4pHYDTUNq1n4XwSwaNJJbqbM34YCoBLvX_jJ1MAzcOs&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoyLCJwZXJtaXNzaW9uc19pZCI6Miwic2Vzc2lvbl9pZCI6MzJ9.hTwCTrt16m4wUsUxulfzSH47sfE4XH6Gb82zjHZTa50&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /admin/userpermission/change/v1 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJwZXJtaXNzaW9uc19pZCI6MSwic2Vzc2lvbl9pZCI6MzN9.euk4I2gKxsSN3I9SQo7-p_esGaML1g9uPO9NEaXMfIo&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoyLCJwZXJtaXNzaW9uc19pZCI6Miwic2Vzc2lvbl9pZCI6MzR9.ifUgUjtmZLcpfc8BBMffC8ss5Mz8RHi7mKXqZM79hus&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /auth/logout/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /admin/userpermission/change/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJwZXJtaXNzaW9uc19pZCI6MSwic2Vzc2lvbl9pZCI6MzV9.2Rx-ObJSbi7K4a67oxHQkfoRAWCINL-vHeihIgxtw3k&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "POST /auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:21] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:22] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:22] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJwZXJtaXNzaW9uc19pZCI6MSwic2Vzc2lvbl9pZCI6Mzd9.4txOVXzgJOKSmYoaU08UKO7zW9xgEZkUtNdRs8xcbBk&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:22] "POST /auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:22] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJwZXJtaXNzaW9uc19pZCI6MSwic2Vzc2lvbl9pZCI6Mzh9.uu_8xV0-h-u3sN7e6ug2PmVeBp54b4ZGVrtttbC_Gyo&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:22] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJwZXJtaXNzaW9uc19pZCI6MSwic2Vzc2lvbl9pZCI6Mzd9.4txOVXzgJOKSmYoaU08UKO7zW9xgEZkUtNdRs8xcbBk&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:22] "POST /auth/logout/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:22] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJwZXJtaXNzaW9uc19pZCI6MSwic2Vzc2lvbl9pZCI6Mzh9.uu_8xV0-h-u3sN7e6ug2PmVeBp54b4ZGVrtttbC_Gyo&u_id=1 HTTP/1.1" 403 -
