Loading Datastore...
 * Serving Flask app 'server' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://127.0.0.1:6080/ (Press CTRL+C to quit)
127.0.0.1 - - [15/Nov/2021 22:20:57] "GET //channel/details/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJwZXJtaXNzaW9uc19pZCI6MSwic2Vzc2lvbl9pZCI6MTB9.fEddxqwPEqizhleSyLAegRXMxpZSAiuPiLMx65elLao&channel_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "GET //channel/messages/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJwZXJtaXNzaW9uc19pZCI6MSwic2Vzc2lvbl9pZCI6MTB9.fEddxqwPEqizhleSyLAegRXMxpZSAiuPiLMx65elLao&channel_id=1&start=0 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //dm/create/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //message/senddm/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //message/senddm/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "DELETE //admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "DELETE //admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "DELETE //admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "GET //dm/details/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJwZXJtaXNzaW9uc19pZCI6MSwic2Vzc2lvbl9pZCI6MTN9.cAWnRiLm_rFYdlMwXM01l2aPlTBDYxPTI-44XM1EeLo&dm_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "GET //dm/messages/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJwZXJtaXNzaW9uc19pZCI6MSwic2Vzc2lvbl9pZCI6MTN9.cAWnRiLm_rFYdlMwXM01l2aPlTBDYxPTI-44XM1EeLo&dm_id=1&start=0 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //dm/create/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "DELETE //admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "GET //dm/details/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJwZXJtaXNzaW9uc19pZCI6MSwic2Vzc2lvbl9pZCI6MTd9.Soufppryo-2FS1K3GF0ZmtUD5bsgojvfq-qbJ2w0_Kc&dm_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "DELETE //admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "GET //users/all/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJwZXJtaXNzaW9uc19pZCI6MSwic2Vzc2lvbl9pZCI6MjB9._h37UcYKwWSssvJXwjyDJsV5h-EuyrMpJlrc2I_bKxU HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "GET //user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJwZXJtaXNzaW9uc19pZCI6MSwic2Vzc2lvbl9pZCI6MjB9._h37UcYKwWSssvJXwjyDJsV5h-EuyrMpJlrc2I_bKxU&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "DELETE //admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/login/v2 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //admin/userpermission/change/v1 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/logout/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //admin/userpermission/change/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //admin/userpermission/change/v1 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //admin/userpermission/change/v1 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //admin/userpermission/change/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //admin/userpermission/change/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //admin/userpermission/change/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //admin/userpermission/change/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //admin/userpermission/change/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/register/v2 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/register/v2 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/register/v2 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/register/v2 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/register/v2 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/register/v2 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/register/v2 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/login/v2 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/login/v2 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/login/v2 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/login/v2 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/logout/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "PUT //user/profile/sethandle/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/logout/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "PUT //user/profile/sethandle/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "PUT //user/profile/sethandle/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:20:57] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //auth/passwordreset/request/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //channel/invite/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //channel/invite/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "GET //channel/details/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoyLCJwZXJtaXNzaW9uc19pZCI6Miwic2Vzc2lvbl9pZCI6NjF9.uY_OXUUBP4YMn0cIp1xYzSeX6MMPzFnRSwvNgM2thJU&channel_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //channel/addowner/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "GET //channel/details/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoyLCJwZXJtaXNzaW9uc19pZCI6Miwic2Vzc2lvbl9pZCI6NjF9.uY_OXUUBP4YMn0cIp1xYzSeX6MMPzFnRSwvNgM2thJU&channel_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //channel/removeowner/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "GET //channel/details/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoyLCJwZXJtaXNzaW9uc19pZCI6Miwic2Vzc2lvbl9pZCI6NjF9.uY_OXUUBP4YMn0cIp1xYzSeX6MMPzFnRSwvNgM2thJU&channel_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //auth/logout/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //channel/addowner/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "GET //channel/details/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJwZXJtaXNzaW9uc19pZCI6MSwic2Vzc2lvbl9pZCI6NjJ9.-6EXuVBDu-FWZOkhcVvdgT6MGR5M7Nx03OamGaLQ8y0&channel_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //channel/removeowner/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "GET //channel/details/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJwZXJtaXNzaW9uc19pZCI6MSwic2Vzc2lvbl9pZCI6NjJ9.-6EXuVBDu-FWZOkhcVvdgT6MGR5M7Nx03OamGaLQ8y0&channel_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //channel/addowner/v1 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //channel/addowner/v1 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //channel/invite/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //channel/invite/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //channel/invite/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //channel/addowner/v1 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "GET //channel/details/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJwZXJtaXNzaW9uc19pZCI6MSwic2Vzc2lvbl9pZCI6Njd9.Bd3RvGITdqFmmy9gDhzaww9rkNgZ7pV7NPyhAknXe_4&channel_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //channel/addowner/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "GET //channel/details/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJwZXJtaXNzaW9uc19pZCI6MSwic2Vzc2lvbl9pZCI6Njd9.Bd3RvGITdqFmmy9gDhzaww9rkNgZ7pV7NPyhAknXe_4&channel_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //channel/addowner/v1 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //auth/logout/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //channel/addowner/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //channel/addowner/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //channel/addowner/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //channel/addowner/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //channel/addowner/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //channel/removeowner/v1 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //channel/invite/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //channel/invite/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //channel/invite/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //channel/removeowner/v1 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //channel/removeowner/v1 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //channel/addowner/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "GET //channel/details/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoyLCJwZXJtaXNzaW9uc19pZCI6Miwic2Vzc2lvbl9pZCI6NzN9.RftdoepNwKJ9cDO0Wte3jJoR6Etd1qR_-S0KQTi7xtQ&channel_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //auth/logout/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //channel/removeowner/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //channel/removeowner/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //channel/removeowner/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //channel/removeowner/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //channel/removeowner/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //channel/removeowner/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "GET //channel/details/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1X2lkIjoxLCJwZXJtaXNzaW9uc19pZCI6MSwic2Vzc2lvbl9pZCI6NzV9.dXo9f3hbnT1_qY8Ub0K87NKI6qFe5ParCCQymm_dfuI&channel_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //channel/removeowner/v1 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //channel/removeowner/v1 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "DELETE //clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 22:21:02] "POST //auth/register/v2 HTTP/1.1" 200 -
